1 decembrie	1 Decembrie
bodoc	Bodoc
bogata	Bogata
bogati	Bogaţi
bogda	Bogda
bogdan voda	Bogdan Vodă
bogdana	Bogdana
bogdand	Bogdand
bogdanesti	Bogdăneşti
bogdanesti	Bogdănești
bogdanita	Bogdăniţa
bogei	Bogei
boghesti	Bogheşti
boghicea	Boghicea
boghis	Boghiș
bogza	Bogza
bohotin	Bohotin
boian	Boian
boianu mare	Boianu Mare
boinesti	Boinești
boisoara	Boişoara
boita	Boița
boiu	Boiu
boiu mare	Boiu Mare
bolatau	Bolătău
bolbosi	Bolboşi
boldesti	Boldeşti
boldesti-scaeni	Boldeşti-Scăeni
boldu	Boldu
boldur	Boldur
bolintin deal	Bolintin Deal
bolintin vale	Bolintin Vale
bolotesti	Boloteşti
bolovanis	Bolovăniș
bolvasnita	Bolvașnița
bontida	Bonțida
boranesti	Borănești
borascu	Borăscu
borca	Borca
borcea	Borcea
borcut	Borcut
bordeasca veche	Bordeasca Veche
bordei verde	Bordei Verde
bordenii mari	Bordenii Mari
bordesti	Bordeşti
bordusani	Borduşani
borlesti	Borleşti
borlova	Borlova
boroaia	Boroaia
borod	Borod
borosneu mare	Boroşneu Mare
borosoaia	Borosoaia
bors	Borş
borsa	Borşa
borsec	Borsec
bosanci	Bosanci
bosia	Bosia
bosorod	Boşorod
boteni	Boteni
botesti	Botești
botesti	Boţeşti
botiz	Botiz
botiza	Botiza
botoroaga	Botoroaga
botosana	Botoşana
botosani	Botoşani
botosesti-paia	Botoşeşti-Paia
boureni	Boureni
bozieni	Bozieni
bozioru	Bozioru
bozovici	Bozovici
brabeti	Brabeți
brabova	Brabova
brad	Brad
bradeanu	Brădeanu
bradeni	Brădeni
bradesti	Brădeşti
bradicesti	Brădicești
bradu	Bradu
bradulet	Brăduleţ
bradut	Brăduţ
braesti	Brăeşti
bragadiru	Bragadiru
brahasesti	Brăhășești
brahasestii de sus	Brăhăşeştii de Sus
braiesti	Brăiești
braila	Brăila
bralostita	Braloştiţa
bran	Bran
branceni	Brânceni
brancoveanca	Brâncoveanca
brancovenesti	Brâncoveneşti
brancoveni	Brâncoveni
branesti	Brăneşti
branet	Braneț
branisca	Brănişca
branistari	Brăniștari
branistea	Braniştea
branistea	Braniștea
brasov	Braşov
brastavatu	Brastavățu
bratca	Bratca
brateiu	Brateiu
brates	Brateş
bratesti	Brătești
bratila	Brătila
bratovoesti	Bratovoești
brazi	Brazi
brazii	Brazii
brazii de sus	Brazii de Sus
breasta	Breasta
breaza	Breaza
breaza de jos	Breaza de Jos
