kleinlutzel	Kleinlützel
klingnau	Klingnau
klosters serneus	Klosters Serneus
kloten	Kloten
kloten / balsberg	Kloten / Balsberg
kloten / freienberg (chanzler-chlini chaseren)	Kloten / Freienberg (Chanzler-Chlini Chaseren)
kloten / geissberg	Kloten / Geissberg
kloten / holberg	Kloten / Holberg
kloten / horainli	Kloten / Horainli
kloten / hostrass	Kloten / Hostrass
kloten / kloten (zentrum)	Kloten / Kloten (Zentrum)
kloten / rutlen	Kloten / Rütlen
kloten / spitz	Kloten / Spitz
knonau	Knonau
knutwil	Knutwil
koblenz	Koblenz
kollbrunn	Kollbrunn
kollbrunn / kollbrunn (dorfkern)	Kollbrunn / Kollbrunn (Dorfkern)
kolliken	Kölliken
koniz	Köniz
konolfingen	Konolfingen
koppigen	Koppigen
krauchthal	Krauchthal
kreuzlingen	Kreuzlingen
kriegstetten	Kriegstetten
kriens	Kriens
krummenau	Krummenau
kunten	Künten
kusnacht	Küsnacht
kusnacht / dorf	Küsnacht / Dorf
kusnacht / goldbach	Küsnacht / Goldbach
kusnacht / heslibach	Küsnacht / Heslibach
kusnacht / itschnach	Küsnacht / Itschnach
kusnacht / schiedhalden	Küsnacht / Schiedhalden
kussnacht	Küssnacht
kuttigen	Küttigen
l'abbaye	L'Abbaye
la chaux	La Chaux
la chaux-de-fonds	La Chaux-de-Fonds
la neuveville	La Neuveville
la punt chamues-ch	La Punt Chamues-ch
la roche	La Roche
la sarraz	La Sarraz
la tour-de-peilz	La Tour-de-Peilz
la tour-de-treme	La Tour-de-Trême
laax	Laax
lachen	Lachen
lancy	Lancy
landquart	Landquart
langenbruck	Langenbruck
langendorf	Langendorf
langenthal	Langenthal
langnau	Langnau
langnau / langnau (dorf)	Langnau / Langnau (Dorf)
langnau / vitaquartier	Langnau / Vitaquartier
langnau am albis	Langnau am Albis
langrickenbach	Langrickenbach
laufelfingen	Läufelfingen
laufen	Laufen
laufenburg	Laufenburg
lauffohr (brugg)	Lauffohr (Brugg)
laupen	Laupen
laupersdorf	Laupersdorf
lauperswil	Lauperswil
lausanne	Lausanne
lausen	Lausen
lauterbrunnen	Lauterbrunnen
lavertezzo	Lavertezzo
le chenit	Le Chenit
le grand-saconnex	Le Grand-Saconnex
le landeron	Le Landeron
le locle	Le Locle
