keiskammahoek	Keiskammahoek
kenhardt	Kenhardt
kenton	Kenton
kestell	Kestell
kgapamadi	Kgapamadi
kgwaripe	Kgwaripe
khaya mnandi	Khaya Mnandi
khokhamoya	Khokhamoya
khomanani	Khomanani
khowa	Khowa
kimberley	Kimberley
kinross	Kinross
kirkwood	Kirkwood
klapmuts	Klapmuts
klawer	Klawer
kleinmond	Kleinmond
klerksdorp	Klerksdorp
klipheuwel	Klipheuwel
klipplaat	Klipplaat
knysna	Knysna
koekenaap	Koekenaap
koffiefontein	Koffiefontein
kokstad	Kokstad
komati	Komati
komatipoort	Komatipoort
komga	Komga
koppies	Koppies
koringberg	Koringberg
koster	Koster
kraaifontein	Kraaifontein
kragbron	Kragbron
krakeelrivier	Krakeelrivier
kranshoek	Kranshoek
kranskop	Kranskop
kriel	Kriel
kriel power station	Kriel Power Station
kroonstad	Kroonstad
krugersdorp	Krugersdorp
kruisfontein	Kruisfontein
kuils river	Kuils River
kumana	Kumana
kurland	Kurland
kuruman	Kuruman
kutloanong	Kutloanong
kwadela	KwaDela
kwadukuza	KwaDukuza
kwaggafontein	Kwaggafontein
kwagingindlovu	KwaGingindlovu
kwambonambi	KwaMbonambi
kwamhlanga	Kwamhlanga
kwangema	KwaNgema
kwathandeka	KwaThandeka
kylemore	Kylemore
la mercy	La Mercy
ladismith	Ladismith
lady frere	Lady Frere
lady grey	Lady Grey
ladybrand	Ladybrand
ladysmith	Ladysmith
laersdrift	Laersdrift
laingsburg	Laingsburg
lamberts bay	Lamberts Bay
langebaan	Langebaan
languedoc	Languedoc
lansdowne	Lansdowne
le roux	Le Roux
lebohang	Lebohang
lebowakgomo	Lebowakgomo
leerkrans	Leerkrans
leeu-gamka	Leeu-Gamka
leeudoorn mine	Leeudoorn Mine
leeudoringstad	Leeudoringstad
leeupoort	Leeupoort
leeuwfontein-c	Leeuwfontein-C
lehurutshe	Lehurutshe
lenyenye	Lenyenye
lephalale	Lephalale
leslie	Leslie
letlhabile	Letlhabile
libode	Libode
lichtenburg	Lichtenburg
lidgetton	Lidgetton
lillydale	Lillydale
lindley	Lindley
loerieheuwel	Loerieheuwel
loss	Loss
lothair	Lothair
louieville	Louieville
louis trichardt	Louis Trichardt
louis trichardt airforce base	Louis Trichardt Airforce Base
louterwater	Louterwater
louwsburg	Louwsburg
luckhoff	Luckhoff
ludlow	Ludlow
lukwatini	Lukwatini
luphisi	Luphisi
lusikisiki	Lusikisiki
lutzville	Lutzville
lwamondo	Lwamondo
lydenburg	Lydenburg
mabharule	Mabharule
maboke	Maboke
mabopane	Mabopane
machadodorp	Machadodorp
maclear	Maclear
madikwe	Madikwe
madras a	Madras A
madyembeni	Madyembeni
mafemani	Mafemani
mafikeng	Mafikeng
magabeni	Magabeni
magaliesburg	Magaliesburg
magogeni	Magogeni
mahlabatini	Mahlabatini
mahlobyanini	Mahlobyanini
mahukule b	Mahukule B
maile	Maile
makapanstad	Makapanstad
makwassie	Makwassie
malamulele	Malamulele
malelane	Malelane
malmesbury	Malmesbury
maluti	Maluti
mamafubedu	Mamafubedu
mamello	Mamello
mamelodi	Mamelodi
mamre	Mamre
mandeni	Mandeni
manguzi	Manguzi
mankoeng	Mankoeng
mankweng	Mankweng
manyakatana	Manyakatana
mapaleng a	Mapaleng A
mapulaneng view	Mapulaneng View
marapong	Marapong
marble hall	Marble Hall
margate	Margate
marikana	Marikana
marite	Marite
marloth park	Marloth Park
marquard	Marquard
masakeng	Masakeng
masakhane	Masakhane
masana	Masana
matatiele	Matatiele
mathibela	Mathibela
matsamo	Matsamo
matsavana	Matsavana
matshaye	Matshaye
matsulu	Matsulu
maviljan a	Maviljan A
maviljan b	Maviljan B
mbombela	Mbombela
mcgregor	McGregor
mdantsane	Mdantsane
meetse	Meetse
melkbosstrand	Melkbosstrand
melkhoutfontein	Melkhoutfontein
melmoth	Melmoth
memel	Memel
merry pebble stream	Merry Pebble Stream
merweville	Merweville
meyerton	Meyerton
mhlambanyatsi	Mhlambanyatsi
middelburg	Middelburg
middelplaas	Middelplaas
middledrift	Middledrift
midrand	Midrand
midstream	Midstream
migdol	Migdol
mkhuhlu	Mkhuhlu
mkukwini	Mkukwini
mkuze	Mkuze
mmabatho	Mmabatho
mmametlhake	Mmametlhake
modderfontein	Modderfontein
modimolle	Modimolle
mogwase	Mogwase
mokgoba	Mokgoba
mokopane	Mokopane
moloro	Moloro
moloto south	Moloto South
molteno	Molteno
mondlo	Mondlo
monnakato	Monnakato
montagu	Montagu
mooi river	Mooi River
mooinooi	Mooinooi
mooiplaas	Mooiplaas
mookgophong	Mookgophong
moorreesburg	Moorreesburg
morbeng	Morbeng
morgenzon	Morgenzon
morolaneng	Morolaneng
moshate	Moshate
mossel bay	Mossel Bay
motetema	Motetema
motlamogale	Motlamogale
motlamogatsane	Motlamogatsane
mount ayliff	Mount Ayliff
mount frere	Mount Frere
mpakeni	Mpakeni
mphenyatsatsi	Mphenyatsatsi
mpophomeni	Mpophomeni
mpumalanga	Mpumalanga
mpungamhlophe	Mpungamhlophe
mqanduli	Mqanduli
msobomvu	Msobomvu
mthatha	Mthatha
mtititi	Mtititi
mtubatuba	Mtubatuba
mtunzini	Mtunzini
muizenberg	Muizenberg
muldersdriseloop	Muldersdriseloop
murchison	Murchison
murraysburg	Murraysburg
musina	Musina
mutale	Mutale
mvelaphanda	Mvelaphanda
nababeep	Nababeep
namakgale	Namakgale
napier	Napier
ncotshane	Ncotshane
ndevana	Ndevana
ndwedwe	Ndwedwe
nelspoort	Nelspoort
new forest a	New Forest A
new forest b	New Forest B
new hanover	New Hanover
new line	New Line
newcastle	Newcastle
newlands	Newlands
ngabangu	Ngabangu
ngagane	Ngagane
ngcobo	Ngcobo
ngema tribal trust	Ngema Tribal Trust
ngodwana	Ngodwana
ngqamakhwe	Ngqamakhwe
ngqeleni	Ngqeleni
nhlazatje	Nhlazatje
nieu-bethesda	Nieu-Bethesda
nigel	Nigel
nkandla	Nkandla
nkongolwane	Nkongolwane
nkowakowa	Nkowakowa
nomathamasanqa	Nomathamasanqa
nondweni	Nondweni
nongoma	Nongoma
northam	Northam
nottingham road	Nottingham Road
noupoort	Noupoort
nqutu	Nqutu
ntabankulu	Ntabankulu
ntabozuko	Ntabozuko
nthabalala	Nthabalala
nthabiseng	Nthabiseng
nthrowane	Nthrowane
ntuzuma	Ntuzuma
nuwerus nc	Nuwerus NC
oakglen	Oakglen
oakley	Oakley
ocean drive-in	Ocean Drive-In
odendaalsrus	Odendaalsrus
ogies	Ogies
onverwacht	Onverwacht
op-die-berg	Op-die-Berg
orange farm	Orange Farm
orania	Orania
oranjeville	Oranjeville
orient hills	Orient Hills
orinoco a	Orinoco A
orinoco b	Orinoco B
orinoco c	Orinoco C
orkney	Orkney
ottosdal	Ottosdal
oudtshoorn	Oudtshoorn
paarl	Paarl
palmietfontein	Palmietfontein
pampierstad	Pampierstad
parys	Parys
patensie	Patensie
paternoster	Paternoster
paterson	Paterson
paul roux	Paul Roux
paulpietersburg	Paulpietersburg
pearly beach	Pearly Beach
pearston	Pearston
peddie	Peddie
pelindaba	Pelindaba
pella wc	Pella WC
penge	Penge
pennington	Pennington
perdekop	Perdekop
petrusburg	Petrusburg
petrusville	Petrusville
phakamisa	Phakamisa
phalaborwa	Phalaborwa
phatsima	Phatsima
phaweni	Phaweni
philandersbron	Philandersbron
philippolis	Philippolis
philipstown	Philipstown
phola	Phola
phomolong	Phomolong
phuthaditjhaba	Phuthaditjhaba
pienaarsrivier	Pienaarsrivier
piet plessis	Piet Plessis
piet retief	Piet Retief
pietermaritzburg	Pietermaritzburg
piketberg	Piketberg
pilgrim’s rest	Pilgrim’s Rest
