a dun	A Dun
tamu	Tamu
tangyan	Tangyan
tanintharyi	Tanintharyi
tatkon	Tatkon
taukkyan	Taukkyan
taung chaung	Taung Chaung
taung kone	Taung Kone
taung thu kone	Taung Thu Kone
taungdwingyi	Taungdwingyi
taunggyi	Taunggyi
taungoo	Taungoo
taungtalok	Taungtalok
taungup	Taungup
taw kha lu	Taw Kha Lu
taw kha yan ah nauk	Taw Kha Yan Ah Nauk
taw kha yan ah shey	Taw Kha Yan Ah Shey
taw kha yan lay	Taw Kha Yan Lay
taw ku ah nauk	Taw Ku Ah Nauk
taw ku ah shey	Taw Ku Ah Shey
taw lan	Taw Lan
taw pyar	Taw Pyar
taw taik	Taw Taik
tedim	Tedim
tha bawt chaung	Tha Bawt Chaung
tha byu san	Tha Byu San
tha khut pin	Tha Khut Pin
tha meit	Tha Meit
tha min chan	Tha Min Chan
tha nat pin chin	Tha Nat Pin Chin
tha nat pyin	Tha Nat Pyin
tha pyay kone	Tha Pyay Kone
tha wun taw	Tha Wun Taw
tha yaw tan	Tha Yaw Tan
tha yet kone	Tha Yet Kone
tha yet pin chaung	Tha Yet Pin Chaung
tha yet taw	Tha Yet Taw
thakutpin	Thakutpin
than man chaung	Than Man Chaung
than pu yar khon	Than Pu Yar Khon
thanatpin	Thanatpin
thanbyuzayat	Thanbyuzayat
thanhlyin	Thanhlyin
thanlyin	Thanlyin
thar yar kone	Thar Yar Kone
tharyarwady	Tharyarwady
thaton	Thaton
thayetmyo	Thayetmyo
thin gan kyun gyi	Thin Gan Kyun Gyi
thon gwa	Thon Gwa
thongwa	Thongwa
ti law kar yon	Ti Law Kar Yon
to	To
tone tin gan south	Tone Tin Gan South
tu chaung gyi	Tu Chaung Gyi
twante	Twante
twen te wa	Twen Te Wa
u yin	U Yin
wa gauk taw	Wa Gauk Taw
wa thin kha	Wa Thin Kha
wakema	Wakema
war ba lauk thauk	War Ba Lauk Thauk
war net kone	War Net Kone
war yon sun	War Yon Sun
ward 1	Ward 1
ward 2	Ward 2
ward 3	Ward 3
ward 4	Ward 4
ward 5	Ward 5
waw	Waw
wazu	Wazu
wea gyi	Wea Gyi
webula	Webula
wein nawng	Wein Nawng
wet kaik	Wet Kaik
wundwin	Wundwin
yae hpyu twin	Yae Hpyu Twin
yae kyaw	Yae Kyaw
yae kyaw su	Yae Kyaw Su
yae twin kone	Yae Twin Kone
yamethin	Yamethin
yana	Yana
yangon	Yangon
yangon pauk	Yangon Pauk
yangon rubber chan	Yangon Rubber Chan
yawnghwe	Yawnghwe
ye	Ye
ye chaung	Ye Chaung
ye mun	Ye Mun
ye su	Ye Su
ye-u	Ye-u
yedashe	Yedashe
yenangyaung	Yenangyaung
yesagyo	Yesagyo
yoe gwa	Yoe Gwa
ywar ma east	Ywar Ma East
ywar ma middle	Ywar Ma Middle
ywar ma west	Ywar Ma West
ywar tan shey	Ywar Tan Shey
ywar thit gyi	Ywar Thit Gyi
ywar thit ka lay	Ywar Thit Ka Lay
za yat kone	Za Yat Kone
za yat kwin	Za Yat Kwin
zalun	Zalun
zay kone east	Zay Kone East
zay kone west	Zay Kone West
zee hpyu kone	Zee Hpyu Kone
zee kone	Zee Kone
zee pin wea	Zee Pin Wea
zi byu gon	Zi Byu Gon
zigon	Zigon
zwe bar kone tan	Zwe Bar Kone Tan
